Gene	Gene.name	Tissue	nTPM	brain_2	brain_1
ENSG00000112936	C7	choroid plexus	30.1	Brain	Brain
ENSG00000112941	TENT4A	amygdala	6	Brain	Brain
ENSG00000112972	HMGCS1	amygdala	34.5	Brain	Brain
ENSG00000112977	DAP	amygdala	39.2	Brain	Brain
ENSG00000112981	NME5	amygdala	16.2	Brain	Brain
ENSG00000112983	BRD8	amygdala	21.2	Brain	Brain
ENSG00000112992	NNT	amygdala	18.1	Brain	Brain
ENSG00000112996	MRPS30	amygdala	6.9	Brain	Brain
ENSG00000113013	HSPA9	amygdala	87.1	Brain	Brain
ENSG00000113048	MRPS27	amygdala	19.7	Brain	Brain
ENSG00000113068	PFDN1	amygdala	75	Brain	Brain
ENSG00000113070	HBEGF	amygdala	10.7	Brain	Brain
ENSG00000113100	CDH9	cerebral cortex	6.7	Brain	Brain
ENSG00000113108	APBB3	amygdala	5.6	Brain	Brain
ENSG00000113140	SPARC	amygdala	277.4	Brain	Brain
ENSG00000113141	IK	amygdala	56.6	Brain	Brain
ENSG00000113161	HMGCR	amygdala	13.8	Brain	Brain
ENSG00000113163	CERT1	amygdala	8.7	Brain	Brain
ENSG00000113194	FAF2	amygdala	11.2	Brain	Brain
ENSG00000113231	PDE8B	amygdala	20.8	Brain	Brain
ENSG00000113240	CLK4	amygdala	10.4	Brain	Brain
ENSG00000113248	PCDHB15	cerebellum	5	Brain	Brain
ENSG00000113269	RNF130	amygdala	37.2	Brain	Brain
ENSG00000113273	ARSB	cerebral cortex	7.2	Brain	Brain
ENSG00000113282	CLINT1	amygdala	12.8	Brain	Brain
ENSG00000113296	THBS4	amygdala	15.3	Brain	Brain
ENSG00000113300	CNOT6	amygdala	6.7	Brain	Brain
ENSG00000113312	TTC1	amygdala	70.1	Brain	Brain
